Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAOI,Applied Optoelectronics Inc. Common Stock,$44.30,6.17,16.181%,3024733873.00,United States,2013,5410388,Technology,Semiconductors
ACLS,Axcelis Technologies Inc. Common Stock,$86.08,4.59,5.633%,2642587222.00,United States,2000,559606,Technology,Industrial Machinery/Components
AGYS,Agilysys Inc. Common Stock (DE),$86.01,1.93,2.295%,2417590324.00,United States,,336460,Technology,EDP Services
ALRM,Alarm.com Holdings Inc. Common Stock,$48.22,1.79,3.855%,2405198170.00,United States,2015,614686,Technology,Computer Software: Prepackaged Software
APPF,AppFolio Inc. Class A Common Stock,$179.725,2.365,1.333%,6468289810.00,United States,2015,546781,Technology,Computer Software: Prepackaged Software
ASAN,Asana Inc. Class A Common Stock,$8.76,0.30,3.546%,2076996009.00,United States,2020,5048603,Technology,Computer Software: Prepackaged Software
AVPT,AvePoint Inc. Class A Common Stock,$10.57,0.41,4.035%,2280893038.00,United States,2019,2629990,Technology,Computer Software: Prepackaged Software
BB,BlackBerry Limited Common Stock,$3.46,0.07,2.065%,2041400000.00,Canada,,6374477,Technology,Computer Software: Prepackaged Software
BHE,Benchmark Electronics Inc. Common Stock,$58.30,2.29,4.089%,2080081911.00,United States,,295230,Technology,Electrical Products
BL,BlackLine Inc. Common Stock,$43.85,2.14,5.131%,2608490392.00,United States,2016,1329346,Technology,Computer Software: Prepackaged Software
BOX,Box Inc. Class A Common Stock,$24.67,0.36,1.481%,3533430270.00,United States,2015,3071488,Technology,Computer Software: Prepackaged Software
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,$5.78,0.10,1.761%,3710873612.00,United States,,22459396,Technology,Computer Software: Prepackaged Software
COMP,Compass Inc. Class A Common Stock,$12.27,0.23,1.91%,6898634775.00,United States,2021,14673569,Technology,EDP Services
CSGS,CSG Systems International Inc. Common Stock,$80.06,0.20,0.25%,2283325371.00,United States,1996,327747,Technology,EDP Services
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,$23.85,0.37,1.576%,6979951828.00,United States,2021,10256703,Technology,Computer Software: Prepackaged Software
DIOD,Diodes Incorporated Common Stock,$60.84,1.13,1.892%,2822083538.00,United States,,303456,Technology,Semiconductors
DOCN,DigitalOcean Holdings Inc. Common Stock,$62.92,5.26,9.122%,5756685575.00,United States,2021,3042057,Technology,Computer Software: Programming Data Processing
DOCU,DocuSign Inc. Common Stock,$47.13,1.59,3.491%,9438854236.00,United States,1989,4393476,Technology,Computer Software: Prepackaged Software
DUOL,Duolingo Inc. Class A Common Stock,$119.40,5.06,4.425%,5519546426.00,United States,2021,2292737,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$49.80,2.53,5.352%,6516813508.00,United States,2012,11018294,Technology,Semiconductors
EPAC,Enerpac Tool Group Corp. Common Stock,$42.67,0.80,1.911%,2251964934.00,United States,,283551,Technology,Industrial Machinery/Components
FA,First Advantage Corporation Common Stock,$11.94,-0.24,-1.97%,2078932599.00,United States,2021,1006635,Technology,EDP Services
FORM,FormFactor Inc. FormFactor Inc. Common Stock,$90.29,6.42,7.655%,6999018688.00,United States,2003,2271173,Technology,Semiconductors
FRSH,Freshworks Inc. Class A Common Stock,$8.92,0.17,1.943%,2515188037.00,United States,2021,6819140,Technology,Computer Software: Prepackaged Software
GTLB,GitLab Inc. Class A Common Stock,$32.13,1.52,4.966%,5410692000.00,United States,2021,5185740,Technology,Computer Software: Prepackaged Software
IAC,IAC Inc. Common Stock,$35.65,0.55,1.567%,2760488019.00,United States,,1282214,Technology,Computer Software: Programming Data Processing
KD,Kyndryl Holdings Inc. Common Stock,$23.49,1.42,6.434%,5368976511.00,United States,2021,3770287,Technology,EDP Services
LASR,nLIGHT Inc. Common Stock,$51.12,5.03,10.913%,2799406193.00,United States,2018,1480955,Technology,Semiconductors
MANH,Manhattan Associates Inc. Common Stock,$145.07,6.79,4.91%,8682083788.00,United States,1998,1323440,Technology,Computer Software: Prepackaged Software
MRCY,Mercury Systems Inc Common Stock,$82.20,3.13,3.959%,4933202750.00,United States,1998,640979,Technology,Electrical Products
NCNO,nCino Inc. Common Stock,$18.15,0.18,1.002%,2081532169.00,United States,2020,2095648,Technology,Computer Software: Prepackaged Software
OLED,Universal Display Corporation Common Stock,$121.11,8.06,7.13%,5757841292.00,United States,,1190207,Technology,Electrical Products
OS,OneStream Inc. Class A Common Stock,$23.51,0.16,0.685%,5732014783.00,United States,2024,7851035,Technology,Computer Software: Prepackaged Software
OTEX,Open Text Corporation Common Shares,$25.07,2.28,10.004%,6317917550.00,Canada,1996,4549842,Technology,EDP Services
PAYC,Paycom Software Inc. Common Stock,$130.97,-0.62,-0.471%,7369551585.00,United States,2014,1898810,Technology,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation Common Stock,$117.85,-9.20,-7.241%,6408872385.00,United States,2014,2097239,Technology,Computer Software: Prepackaged Software
PI,Impinj Inc. Common Stock,$116.04,-37.79,-24.566%,3493863677.00,United States,2016,3575193,Technology,Industrial Machinery/Components
PLAB,Photronics Inc. Common Stock,$37.24,2.85,8.287%,2199567231.00,United States,1987,1098821,Technology,Semiconductors
PLXS,Plexus Corp. Common Stock,$206.22,5.15,2.561%,5523905019.00,United States,,503490,Technology,Electrical Products
PSN,Parsons Corporation Common Stock,$69.44,1.92,2.844%,7394567134.00,United States,2019,818834,Technology,EDP Services
QRVO,Qorvo Inc. Common Stock,$83.72,1.00,1.209%,7761319446.00,United States,,1630995,Technology,Semiconductors
QUBT,Quantum Computing Inc. Common Stock,$9.43,1.62,20.743%,2113482757.00,United States,,20859989,Technology,Computer Software: Prepackaged Software
RNG,RingCentral Inc. Class A Common Stock,$27.03,1.60,6.292%,2339844246.00,United States,2013,1611204,Technology,EDP Services
S,SentinelOne Inc. Class A Common Stock,$13.22,0.29,2.243%,4493068101.00,United States,2021,9729122,Technology,Computer Software: Prepackaged Software
SAIL,SailPoint Inc. Common Stock,$14.71,0.44,3.083%,8261514930.00,United States,2025,2845962,Technology,Computer Software: Prepackaged Software
SLAB,Silicon Laboratories Inc. Common Stock,$206.50,1.28,0.624%,6784132523.00,United States,2000,1745534,Technology,Semiconductors
SNAP,Snap Inc. Class A Common Stock,$5.22,0.10,1.953%,8816329388.00,United States,2017,93552522,Technology,Computer Software: Programming Data Processing
SPSC,SPS Commerce Inc. Common Stock,$79.53,0.53,0.671%,2999004246.00,United States,2010,670940,Technology,Computer Software: Prepackaged Software
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,$89.23,1.92,2.199%,3455854789.00,United States,2002,1799288,Technology,Semiconductors
TEM,Tempus AI Inc. Class A Common Stock,$54.91,2.47,4.71%,9768887592.00,United States,2024,6498067,Technology,Computer Software: Programming Data Processing
UCTT,Ultra Clean Holdings Inc. Common Stock,$48.29,4.43,10.10%,2191742480.00,United States,2004,660407,Technology,Semiconductors
VERX,Vertex Inc. Class A Common Stock,$15.73,0.78,5.217%,2509374874.00,United States,2020,4668277,Technology,Computer Software: Prepackaged Software
VICR,Vicor Corporation Common Stock,$159.87,11.685,7.885%,7138616278.00,United States,,773314,Technology,Industrial Machinery/Components
VRNS,Varonis Systems Inc. Common Stock,$22.65,0.44,1.981%,2660190994.00,United States,2014,5291846,Technology,Computer Software: Prepackaged Software
VSH,Vishay Intertechnology Inc. Common Stock,$19.95,0.30,1.527%,2704988480.00,United States,,3364666,Technology,Electrical Products
WGS,GeneDx Holdings Corp. Class A Common Stock,$84.29,0.21,0.25%,2436367891.00,United States,2020,819198,Technology,Retail: Computer Software & Peripheral Equipment
WULF,TeraWulf Inc. Common Stock,$14.29,2.37,19.883%,5982964079.00,United States,,46525726,Technology,EDP Services
ZETA,Zeta Global Holdings Corp. Class A Common Stock,$16.89,0.89,5.563%,4017880217.00,United States,2021,9586789,Technology,Computer Software: Prepackaged Software
